,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,እንደዛ,ሰውዬ,አይቦልኩም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,መገናኛ,ብዙ,አባል,ደምቢዶሎ,የታገቱ,ኢትዮጵያዊ,ድምጽ,ጥር,በአአ,ተደረገ,ሰላማዊ,ሰልፍ,ተመለከተ,አበረ,ኮሚቴ,ነገ,ጥር,ከርፕፋዱ,መስቀል,ፍላወር,ሆቴል,ጋዜጣዊ,ገለጸ,ሰጠ,,,,,,,,
2,እምወድሽ,ሳሳ,እናት,ሀገር,አረንጓዴ,ኣ,መሀል,ደሞ,ቢጫ,እስር,ደሞ,ቀላ,እቃ,ሁሌም,ደመቀ,ፈለገ,,,,,,,,,,,,,,,,
3,ቤት,ከፈለ,ጨረሰ,ውለታ,አለበ,ከተማ,አይነት,ቤት,ኖረ,ምኞት,,,,,,,,,,,,,,,,,,,,,,
4,ልሙጥ,ደገመ,ተደረገ,በአል,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ብልጽግና,ፈለገ,አንእቦራጨቅም,ድጋሚ,የህውሃት,ኛ,ጉባኤ,,,,,,,,,,,,,,,,,,,,,,,,,
6,ጽንፈኛ,ተመለከተ,ብልጽግና,አስተማረ,ከካድሬ,ስራ,ጊዜ,አገደ,,,,,,,,,,,,,,,,,,,,,,,,
7,"""ኦሮሞ",ሚባል,ግሩፕ,"አለ""",የግሩፑን,አባል,አወቀ,መልካ,ንቀት,ደበቀ,ቻለ,,,,,,,,,,,,,,,,,,,,,
8,ለም,ሙስሊም,ሴት,ፎቶ,ፈለገ,ሃ,ሃ,ሃ,ወደደ,መሰለ,ወይስ,ሙስሊም,አሉ,,,,,,,,,,,,,,,,,,,
9,ፈራ,ተጠቃ,ምርምር,ማስታወሻ,ነባ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ፍቅር,አወቀ,መኪና,ተቃጠለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ባለምስጋና,ድንግል,ተመሰገነ,ተቻለ,ፈጠረ,ማህጸን,ወሰነ,ቅድስት,ድንግል,ማርያ,አእምሮ,ሀሳብ,ከፍ,ተአምራዊ,ንግስት,ግን,ዘለአለም,ተገኘ,ነፍስ,ስጋ,አምላክ,ተወሀደ,ብቸኛ,እናት,,,,,,,,
12,ህውን,አበረ,ደረሰ,አሜን,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,እብድ,ጠቀሰ,አበደ,ጀመረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,አገር,ምድር,ከተከተ,ክትክታ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"""",አምና,ቀን,አማ,አፍ,ለከት,የለው,ዘንድሮ,ባሰ,እጅ,"""",ስነቃል,ለኢልቦለድ,ጽሁፍ,ሶፍት,ስፓት,ነባ,ተረፈ,ወዳጅ,ምክረ,,,,,,,,,,,,
16,በግለሰባዊ,ስብእናቸው,ጻፈ,ጻፈ,ፈጠረ,ስርአት,አግላይነት,ትኩረት,አካታችነት,አግላይነትን,አየ,ብዙ,ጽሁፍ,መነሻ,ስር,,,,,,,,,,,,,,,,,
17,ባልደራስ,ጥር,አዲስ,አበባ,ገለልተኛ,አካል,ለተጠራዉ,ሰላማዊ,ሰልፍ,ድጋፍ,ሰጠ,,,,,,,,,,,,,,,,,,,,,
18,ገረመ,ብርድ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ሀሳብ,አወቀ,ቃል,አነሰ,ችግር,በቃ,ነብር,ኤድቷን,በትኖርልን,ጥሩ,ያሬድዬ,,,,,,,,,,,,,,,,,,,,,
20,ያኛው,ኢህአዴግ,ልማት,ተደናቀፈ,ተወ,ሙሰኞች,አሉ,ይሄኛው,ኢህአዴግ,ደገመ,አገር,ደህንነት,ዝም,መአት,ሙሰኞች,አሉ,አገር,ደህና,,,,,,,,,,,,,,
21,እንትን,ፋብሪካ,ሰራተኛ,ተደረገ,በአል,ዝግጅት,ጭልት,ፖለቲካ,ማህበራዊ,ፍልስፍና,ተነተነ,በአል,ልዩ,ዝግጅት,ድርግ,ሽግግር,ጣመ,,,,,,,,,,,,,,,
22,አስራት,ወደደ,ጠቀሰ,ፈለገ,ግለሰብ,አስራት,ሚዲያ,ሺ,ብር,ገባ,ድርግ,ከልብ,ተመሰገነ,,,,,,,,,,,,,,,,,,,
23,"""የአልዛይመር",ሽታ,ህሙማን,ማህበር,ጠቅላላ,ጉባኤ,"""የመርሳት",ሽታ,"የለም""","አጸደቀ""",ገለጸ,ጠላ,,,,,,,,,,,,,,,,,,,,
24,ድል,ዴሞክራሲያ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ደመና,ልክ,ሄደ,ቀን,ብሩህ,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ማህበረ,ቅዱስ,ደረሰ,ሙስሊም,ሀገር,የማዉደም,ዘመቻ,ድርጅት,ሚና,,,,,,,,,,,,,,,,,,,,,,,
27,ሰሊናዬ,አኞ,ቃል,መጣ,መሰለ,አለቀ,በዛ,,,,,,,,,,,,,,,,,,,,,,,,,
28,እንዴ,ለካ,ዝም,ብየ,ወያናዎችና,ልጆጃቸው,የነብርኩ,ኤርትራ,የባህርዳርጎንደርኣዲስ,ኣበባኣዋሳባጭሩ,የኢትዮጲያ,ኢሱ,ጠራ,ፕረሲደንት,ህዝብ,ትላለ,,,,,,,,,,,,,,,,
29,ነገርማ,ተወራ,አዲሴ,ሰቃይ,ኸረ,ይቅርታ,ገባ,,,,,,,,,,,,,,,,,,,,,,,,,
30,በዚህኛው,ገና,ሚዲያ,የታዘብኩት,የሳንታ,ክሎስ,ፊቸሮች,ፕሮግራም,ማስታወቂያ,በረከተ,አየ,ድንቁርና,ድርግ,ሄደ,እንጭጭ,መቀጨት,ኖረ,,,,,,,,,,,,,,,
31,ታኬ,በረታ,አውራ,ስር,ለሀገራቹ,ሰርታቹም,እያሳያቹን,ዶር,አብይ,ኢር,ታከለ,ጀግና,ናቹ,መታ,ታሪክ,አይረሳቹም,,,,,,,,,,,,,,,,
32,"""ጊዜ","ለኩሉ""",ተባለ,የለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
