,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,ልዩ,ተፈጥሮ,ገጽታ,ምስራቅ,አፍሪካ,ውሀ,ማማ,ጮቅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ሀገር,ጥቅም,ተሰለፈ,ሰጠ,መላጣ,ነአ,የሻቢይን,ይሁንታ,ተገኘ,ሀገር,ባህር,ሰጠ,ታምራት,እውነታ,ውርእ,እርር,መጣ,ሚሊዮን,አበረ,,,,,,,,,,,,,,,,,
2,ብጄ,አሳምነው_ጽጌ,ምክትል,ጠማ,ደመቀ,ሱዳን,ጉብኝት,አልበሽር,ተመስገን,ነገረ,ጥር,ጎረቤት,ከህወሀት,ግን,ቤተሰብ,,,,,,,,,,,,,,,,,,,,,
3,"""ትልልቅ",ነደደ,ፍጆታ,ተሽከርካሪ,አየር,ብክለት,አኳያ,ነዳጅ,ወጣ,ረገድ,ለየ,ኤክሳይዝ_ታክስ,ጣለ,ገባ,ሊትር,ኪሎ,ሜትር,ነዳ,ለየ,አተያይ,ኖረ,"ጠይቀዋል""",,,,,,,,,,,,,,
4,እሺ,ወንድም,ተከለ,ማኛ,እኮ,ወዳታለሁ,ደሞ,ቀና,አሉ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ይቺ,አወቀ,ዶር_አብይ,ክርስቲያን,የሆነዋኧረ,ጀንፈሉ,እንጣጥ,እንጣጥ,ዋዋዋ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ፈለገ,መብት,ኖረ,መብት,ወሰነ,ግን,ኖረ,ሀገር,ህግ,ኖረ,ቻለ,መብት,እኩልነት,ተገኛኘ,ህግ,,,,,,,,,,,,,,,,,,,,,
7,ንነቴ,ኢትዮጵያዊነቴ,መታ,አወቀ,ተከለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ለቅዳሚታችሁ,ሰረረ,ምሉእነትና,እርካታ,ሰማ,የአሁንነት,ሀይል,መንፈሳዊ,እውቀት,ብርሀን,መራ,በኤክሀርት,ቶሌየተዘጋጀ,,,,,,,,,,,,,,,,,,,,,,,
9,ኮንዶሚኒየም,መለሰ,መልስ,ባከነ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ስንታየሁም,ኤልያስ,ፓርላማ,ገባ,አነሰ,ደገመ,ያዘ,ፓርቲ,መሰረተ,ማነው,መቸም,እስክንድር,በየምክኒያቱ,ዱላ,አነሳ,ለም,መርህ,መራ,ጽኑ,ኖረ,አለቀ,አስቀመጠ,,,,,,,,,,,,,,
11,ለካ,ጭብል,ለበሰ,ፕሮፌሰር,ፎቶ,ለጥፈክ,ልም,ላከ,ባዳ,ነክ,ፈር,ትንሽ,,,,,,,,,,,,,,,,,,,,,,,,
12,ታህሳስ,ቀን,ሞጣ,ከተማ,አስተዳደር,በመስጅዶችና,ሱቅ,ደረሰ,እሳት,ቃጠሎ,አወገዘ,እስልምና,ሀይማኖት,ተከታይ,ባህር_ዳር,ሰላማዊ_ሰልፍ,አካሄደ,ተገኘ,,,,,,,,,,,,,,,,,,
13,አሜሪካ,ሱሌይማኒን,ገደለ,ቀይ,መስመር,አለፈ,ቀረረ,ዜጋ,ሀገር,ለቀቀ,ውጥእ,አዝዛለች,ጀለሶቿ,ደገመ,አሉ,ለመጠ,ጀመረ,,,,,,,,,,,,,,,,,,,
14,ይሄው,አይደል,እውቀት,ጥግበሰሚ,ሰማ,ተናገረ,ታሪክ,አታነቢምደሞ,ራስ,ገመተ,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ባከነ,ጊዜ,ኖረ,ዶለ,ስራ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ጎንደር,ዩኒቨርሲቲ,ተማሪዎችመምህራንና,አስተዳደር,ሰራተኛ,እርምጃ_ወሰደ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,አማራ,ክልል,ፈጠረ,አወገዘ,ለም,ፖለቲከኛ,እስከሊስትሮ,ድረስ,ኦሮሞ,ክልል,ግን,ሰቀቀ,ሽብር,ፈጸመ,ለየ,የሚያልፎት,አወገዘ,ቀረ,,,,,,,,,,,,,,,,,,
18,ዛሬ,ጁመአ,ወሎ,ኮንቦልቻ,የተደረካ,ከባድ,መልክት,የቃውሞ,ሰልፍ,ብልጽግና,ፓርቲ,ብልጽግና,አየ,,,,,,,,,,,,,,,,,,,,,,,
19,ትንሽ,ቈየ,ዶርብርሀኑና,በዶር,አብይ,ልዩነት,ለም,ምፈራው,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ቢቢሲ,ዘገበ,በላ,ተባለ,አንተዉ,ነገረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,አማራ,ክልል,ፈላ,ልክ,ገባ,ሙስሊም,ጠላ,ሙስሊም,ኖረ,ኦሮምያ,ግንኙነት,አትሰበው,,,,,,,,,,,,,,,,,,,,,,,,
22,እረ,ፈጠረ,እንቅጩን,ነገረ,እህህ,መታ,በቃ,አያት,ቀነተ,ፈታ,ግድብ,ከፈለ,ዋጋ,ሞተ,እንድታየወ,ድርግ,,,,,,,,,,,,,,,,,,,,
23,ባህል,ድርግ,ገለጸ,ገለጠ,ደበነ,ኢመደበኛ,ስርአታት,ስር,ሰደደ,ጐለተ,ሊይታዩ,ቻለ,የጎንዮሽ_ኢእኩልነት,አብላጫውን,ፖለቲካ,ንቅናቄ,ሂደት,ተቈጣ,,,,,,,,,,,,,,,,,,
24,ጥበበኛ,ፍቅር,ማረ,ቴዲ,አፈረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,አቢይ_አህመድ,መንግስት,ድርግ,እርካታ,በጎ,ተግባር,ዘረዘረ,ተቻለ,ግን,መንግስት,ጀመረ,ሀላፊነት,ዜጋ_ደህንነት,ጠበቀ,ረገድ,,,,,,,,,,,,,,,,,,,,,
26,ጽድቅ,ኩነኔ,ኖረ,ኖረ,ክፋት,ደግነት,ተሻለ,ቀረረ,ፉት,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,መንግስት,ሆይ,ሀገሪቷን,ፈላ,መፈንጫ,ተወ,ሰላም,ፈለገ,ጉልበት,መረጠ,እቅፍ,አበባ,ደቃ,ጠንካራ,ክንድ,ተቀበለ,እግድ,,,,,,,,,,,,,,,,,,,
28,"በ""መጽሀፈ","ጨዋታ""",መሰናዶ,አየ,ተመቸ,ቃለ,መጠይቅ,የተካሄበት,ቦታ,ላይብረሪ,መሰለ,ተሰንደው,ደረደረ,ጋዜጣ,ሞላ,ምሳሌ,አዲስ,ዘመን,ሪፖርተር,ፎርቹን,አዲስ,አድማስ,ጋዜጣ,ተሰንደው,ተመለከተ,,,,,,,,,,,
29,ድሮ,ዘመነ,ኮዳክ,ፎቶ,ቤት,ፍላሹ,ፏ,አይን,ጨፈነ,ውጥእ,የምንቸክለውን,እውስ,ግን,ኋላ,ቴዲ,ፊት,ዞረ,እኮ,,,,,,,,,,,,,,,,,,
30,ዠለጠ,ገገማ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ታቦተ,ህግ,እግዚአብሄር,በካህናታ,ህጽርት,ወበመንፈስቅዱስ,ክልልት,ንጉስኪ,ጽዮን,ኢይትመዋእ,ጸር,ወኢየሀድጋ,ሀገር,ካህን,ከበበ,ነፈሰ,ቅዱስ,ተከለ,እግዚአብሄር,ታቦተ,ህግ,ጽዮን,ንጉስ,ጠላት,ተሸነፈ,ሀገር,ተወ,,,,,,,,,
32,አማ,ልሙጥ,ባንዴራን,ለቤተክርስትያኒቷ,አስረክባቹ,ተሻለ,መንገደ,ሰለማዊና,ረጋ,ክልል,ፈጠረ,ሰርታቹ,አየ,ተዛ,መጣ,ወራሪጠላት,አበረ,ንቆማለን,,,,,,,,,,,,,,,,,,
33,ብድር,ምድር,ተገቢ,ፊት,ተቃወመ,ነበረ,ነበረ,ታድያ,ጉልቻ,ቀየረ,ነዋ,ሀገሬ,ደግ,መጣ,,,,,,,,,,,,,,,,,,,,,,
34,ለውጥ,አለመ,ኦሮሚያ,ባለሀብት,ውይይት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ሀገር,ችግር,አወቀ,መፍትሄ,መጣ,ትክክል,ሀገር,ይቺ,ወጣት,እንጀራ,ገገረ,ፈለገ,አብሲት,ለየ,ቀለለ,ዘዴ,ተዘጋጀ,እናት,ውለታ,ዋለ,ሰይፍ,በኢቢኤስ,,,,,,,,,,,,,,
36,አያውቅምእና,ያውቃልአይባልም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ስውር,ህዝብ,ጭምር,ሂሉን,እሺ,ተቻለ,ሚገርመኝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ሀይማኖት,መሪ,ክርስትና,እምነት_ተከታይ,የእንኳን_ደረሰ,መልእክት,አለፈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,አዲስ,አቶ,ሬድዋን_ሁሴን,ሹመትመንታ,መንገድ,ቆመ,የስልጤ,ምርጫ,እመለስባታለው,ጠበቀ,,,,,,,,,,,,,,,,,,,,,,,,,,
40,አፋር,ወጣት,ተላለፈ,ቸኰለ,መልእክት,አፋር,ወጣት,አማራ,ክልል,ርእሰ,መስተዳድር,ክልል,ድርግ,ጉብኝት,ተቃወመ,ሰመራ,ሉሲ,አደራ,ልክ,አአ,ሰአት,ተገኛኘ,አሉ,,,,,,,,,,,,,
41,ጀመረ,ቃል,ነበረ,ቃል,ቀለም,ቀነበረ,ቃል,ቀለም,ተግባር,ኖረ,መእራፉን,ጨረሰ,ቋጠረ,,,,,,,,,,,,,,,,,,,,,,,
42,ቤት,ጥቃት,–,ያለሰሚ,–,ያለተመልካች,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ሪፖርት,ፈረሰኛ,ምአም,አናብስትን,ረታ,አሸናፊነት_መለሰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,የህወሀት,ማእከላዊ,ኮሚቴ,አባል,አቶ,ጌታ,ረዳ,ትናንት,በድምጺ,ወያነ,ቴሌቪዥን,ህወሀት,ቀጣይ,እጣ_ፈንታ,ተናገረ,ተባለ,ማህበራዊ,ሚዲያ,ተሰራጨ,ዜና,ሀሰተኛ,,,,,,,,,,,,,,,
45,"""ኤርትራውያን",ስነ,ጥበበኛታት,ንናይ,ጎደና,ስነጥበብ,ክንደፍኣሉ,ይግባእ,ንዘሎና,ሀብታም,አራ,ብቕርጻ,ብቕብኣን,ስነ,ጽሁፍ,ክንትርኾ,ኣሎና,ነፍሲ,ወከፍ,ጎደና,አራ,ክንስንደሉ,ዝኽእል,"እዩ""",,,,,,,,,,,,
46,አይ,አየ,ስምንተኛ,ክፍል,ዘለቀ,ሾመ,መልስ,እኮ,እዛው,ቀይ,ስምር,"""ከጊዜው",ነባራዊ,ጋ,ተራመደ,አለቀ,,,,,,,,,,,,,,,,,,,,
47,ሀገር,ቀፈፈ,ብሄራዊ,እሴት,ሰላም,ምክር_ቤት,ተቋቋመ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ሰአት,የቴሌቭዥን,መርሀግብሩ,ተጀምሯልከዮድ,አቢሲንያ,ብስር,ዝግጅት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,አይነት,ወሬ,ረገበ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,የበታችነት,ስሜት,ክርር,ሰከረ,መጣ,መስጂድህን,ቅጥል,ተናገረ,መለሰ,አገባቹ,ትላለህያንተን,አይነት,ለቀለቀ,ምስጋና,ፈለገ,ታገለ,አባት,አጐነበሰ,ቻለ,,,,,,,,,,,,,,,,,
51,የአባገዳ,ልጅ,ጠሚር,ዶር_አብይ_አህመድ,ጉጂ,አባገዳ,ተመርቀዉ,ካላቻ,አሰረ,ዶር,ደስ,,,,,,,,,,,,,,,,,,,,,,,,,
52,እገዛ,ጓደኛ,ገደለ,ኋላ,ስሜት,ይሄ,ደሞ,መራ,ዘመን,አየ,አወቀ,ግልብነትግልፍተኝነት,ጉዳይ,ጥርእ,ረጋ,አመነ,ሰላም,ረገጠ,ተቻለ,,,,,,,,,,,,,,,,,
53,ሰኔ,ቱን,ፍንዳታ,ተመለከተ,አሜሪካ,ላቀ,ተጠረጠረ,አሻራ,ውጤት,ጤና,ጥበቃ,ሚንስቴር,ነካ,እጅ,ቢገልጽልንግራ,ገባ,እኮ,,,,,,,,,,,,,,,,,,,
54,በኤክሳይዝ,ታክስ,ሰበብ,ታየ,ዋጋ,ንረት,ተነሳ,ዝብእ,ገበያ,ስርአት,መንግስት,አበለ,,,,,,,,,,,,,,,,,,,,,,,,
55,አብይ,ራስ,ጀዋርን,ጠቀመ,አረገ,ተጠያቂዉ,አብይ,ነዉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ልክ,ጋን,ዉስጥ,እንቁራሪት,ነዉ,ትንሽዬ,ብርሀን,አየ,ኖራ,ጋን,ወጣ,እቃ,ተቻለ,እንደጀዋር,ኬኛ,ቁጭ,ደሞ,ለቀቀ,ጀዋር,መንፈስ,የሚኒሊክ,ነዉ,እንቁራሪቷች,ልክ,ግብእ,አመነ,,,,,,,,,,
57,ጥንብ_ዘረኛ,ጠፋ,መርዝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ወያኔ,ጣለ,ድርሻ,ነበረ,ወደቀ,ጉራ,ነዛ,በቀር,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,መኪና,ብዛት,ሚልየን,ደረሰመ,ገረረ,ግን,አማካይ,አመት,ከዎች,ትራፊክ,አደጋ,ህይወት,አለፈ,,,,,,,,,,,,,,,,,,,,,,,
60,"""የእነዛ",ምስኪን,ንጹሀን,ምንዱባን,ነፍሳት,ቀጠፈ,ህይወት,ረሳ,"""",ቀን,ጀምበር,ዘመዳሞች,ፉክክር,አብይ_አህመድ,የአይኤስ,ወኪል,በሆነዉ,ግለሰብ,ፈጀ,ንጹሀን,ኢትዮጵያዊ,,,,,,,,,,,,,,,
61,ሰለቸ,ጌታ,አውሬነት,ለወጠ,ደከመ,ደከመ,ጌታ_ሆይ,አረ,አይነት,ዘመን,ፔጅ,ሄደ,ያንን,ሙሉጭ,አረገ,ሰደበ,ሰደበ,ቀላ,ወይስ,ያንን,ፔጅ,አየ,,,,,,,,,,,,,,
62,ልክ,ቃል,ቅንነት,ገመተ,ቻለ,ቅንማ,ኪራይ,ሰብሳቢነኝ,በኢትቪ,ቀረጸ,ዶክሞንተሪ,የሚሰርቡህ,,,,,,,,,,,,,,,,,,,,,,,,
63,ሞተ,ጌታ_ሆይ,ኧረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ፎከረ,ፓርቲ,ስብስብ,ቡድን,ወቀረ,ፋና,ዋልታ,ኢቲቪ,አጠቃላይ,ህዝብ,ሀብት,ሚዲያ,ባለቤትነት,ጠቀመ,ጥርት,ጽድት,መስመር,እንዲሰመር,ታገለ,አለባቸው,,,,,,,,,,,,,,,,
65,ኦሮሞ,ተማረ,ከብት,ነዉ,አያስተዉልም,ጥንብ_ዘረኛ,ናቸዉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,እየሱስ_ክርስቶስ,ድንግል_ማርያ,ወለደ,ስጋ,ዳዊት,ዘር,ወለደ,ልጅ,ሀጢአት,እዳለመክፈል,ፔድ,ውይ*,ቻለ,,,,,,,,,,,,,,,,,,,,,,,
67,ጌታ,እናት,ንጺህተ,ንጹሀን,ቅድስተ,ቅዱስ,ድንግል_ማርያ,አኔ,ሀጢያተኛ,ልጅ,ገባ,ሳበ,ሰራ,ልጅ,ቃልኪዳን,በለጠ,አሰበ,ሰአሊለነ,ቅድስት,,,,,,,,,,,,,,,,,
68,አምላከ,ቅዱስ,ኡራኤል,መልአክ,ቀን,የተበረከና,ቀደሰ,ድርግ,ሰላም,አደረ,ሰላም,ዋለ,አገር,ዳር,ሰአት,መሀል,ገነት,ድርግ,ጠበቀ,አሜን,,,,,,,,,,,,,,,,
69,ጥር,ጊዜበተለይ,ቆመ,"""ተንቦገቦገች""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ኦሮምኛ,ለመደ,ድረስ,ኦሮሚኛ,ቻለ,ተረጐመ,እስቲ,ፎቶ,ፓ,ሰላም,ፍቅር,ደስታ,ፈገግታ,ሰፈነ,አቢቹ,ከአቢቹም,ፈነጠቀ,ደስ,ነጌኒ,በዳዳ,መኖርደስይላል,,,,,,,,,,,,,,,
71,መልካም,እሴት,አደገ,ችግር,ሰላም,ፈታ,ዜጋ,አበረ,ቆመ,ሀይማኖት,አባት,,,,,,,,,,,,,,,,,,,,,,,,,
72,ሃሃሃሃ,ቀለደ,አመት,በሀላ,መሬት,ሚሊዮን,ገበየ,ዶላር,ቡልልልልል,ቀረ,ወቃ,,,,,,,,,,,,,,,,,,,,,,,,,
73,አመሰ,አል,ከፋ,ቦረና,ሰላም,እነራስ,ጎበና,ሰጠ,አጣ,ድፍን,አበሻ,ለኡራኤል,ሰጠ,ጎበና,ጋሻ,ዘፈነ,ስመጥሩ,ጀግና,ራስ,ጎበና,ይ,,,,,,,,,,,,,,,
74,መንግስት,ግድብ,ዙሪያ,ተደረገ,ድርድር,ከፍተኛ,ጥንቃቄ,ድርግ,ገባ,ምክናያቱም,አሜሪካ,ግብጽ,የማታዳለበት,ምክንያት,ለም,,,,,,,,,,,,,,,,,,,,,
75,ደከመ,ጊዜ,ግፍ,ወሰደ,ባህር_በር,ጊዜ,ጉዳይ,መለሰ,ቀረረ,ቻይና,ቦሊቪያ,ብዙ,ማረ,,,,,,,,,,,,,,,,,,,,,,,
76,በተለይ,ምእራብ_ወለጋ,ግዛት,አመት,ድፍን,አመት,ሙሉ,ኦነግ,ነጻ,መንግስት,ልጅ,ወታደርነት,ሲመለምል,ትምህርት,ቤት,ጭምር,ወታደር,ካምፕ,ድርግ,ተናገረ,ጠፋ,,,,,,,,,,,,,,,
77,ቲሽ,ጨለምተኛ,ዱቄት,ቆመ,እንዴ,ጊዜ,ነጐደ,አሉባልታ,ቀቀለ,በላ,ልደት,መጣ,,,,,,,,,,,,,,,,,,,,,,,,
78,እረ,እረፍት,አረገ,ይሄ,ደገመ,ስራ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ቁልጭ,መኩሪያ,እኮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ክፉ,ተናግረውክፉ,አናገረ,ቀረ,በየነ,አስኮንኞች,እኮ,ደም,ንጹህ,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ያንች,ነጻነት,አማራ,ወሬኛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ቅውቀት,ዛሬ,በሳ,ነበርብሬ,ከባድ,ሚዛን,ተግባር,አየ,አይጠገቤው,ኢንተርቪው,እውቀት,ገበየ,ዋለ,ብል,ገነነ,ቤሬን,መጠነ,ጋዜጠኛ,ግን,አገርቤት,መሰለ,,,,,,,,,,,,,,,
83,ህዳሴ_ግድብ,የሶስትዮሽ_ውይይት,ካይሮ,ተካሄደ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ግል,ኡስታዝ,አቡበክር,አህመድ,ምጠ,ሚኒስትር,ስልክ_ደወለ,ጭምር,ትዝ,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ጥር,ስራ,ደረሰ,ግኝ*,ቻለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ይሄ,ዜና,ስብሰባ,ተደረገ,ፊት,ቻለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,አማራ,ክልል,ሰራ,በላ,መንገድ,ተንጠባጠበ,ረዘመ,ቈላ,ፍትሀዊነትን,ሰፈነ,አማራ,ክልል,አይነት,መንገድ,ፕሮጀክት,ጀመረ,አወቀ,የርመስተዳድር,መከረ,ግዛት,በላ,,,,,,,,,,,,,,,
88,አስኬ,መልካም,ስራ,መሰከረ,ህውን,ክርስቶስ,ወንጀለኛ,ነዉ,ብለዉታል,መልካም,ድርግ,ድል,የእግዛቤር,ነዉ,እግዛቤር,ሁል,ጊዜ,መልካም,ሚያረገዉ,ነዉ,የሚሆነዉ,አይዞህ,ስር,ወደቀ,,,,,,,,,,,,
89,ብይ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ኢቲቪ,ውነት,ተናገረ,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ብልግና,ፓርቲ,ጨለማ,ነዉ,ኢቲቪ,ውነት,ተናገረ,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ብልግና,ፓርቲ,ጨለማ,ነዉ,ኢቲቪ,ውነት,ተናገረ,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ብልግና,ፓርቲ,ጨለማ,ነዉ
91,ጎንደር,ዩኒቨርሲቲ,ቅጣት,ጣለ,ግለሰብ,ሁከት,ሰፋ,"""ተማሪዎች",ክፍል,ገባ,ከለከለ,ትምህርት,ጀመረ,መራ,መምህር,ፈራ,ስለት,ግቢ,ያዘ,"በመገኘት""",ጥረት,ድርግ,,,,,,,,,,,,,,
92,ወደደ,ነበረ,ዛሬ,ጠላ,ሰፌድ,ቆሎ,ዘገነሽ,ጉድ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ታብሌት,ኮምፒውተሮቹ,ስጦታ,ተገኘ,ወይስ,ህዝብ,ገንዘብ,የተገዙየከተማ,አደረ,በጀት,ያዘ,ነበርወይስ,ወዘፈቀደ,ከንቲባ,ደገፈ,ወይስ,ዜና,ተሰራጨ,,,,,,,,,,,,,,,,,,
94,መልካም,ረጋ,ተጫወተ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ከንቱ,ኖረ,ሰመኝ,እድሜ,ፍቅር,ለመለመ,ግን,ደህና,ኑረዲን,ኢሳ,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ሁል,ጊዜ,ጌታ,ደስ,በላ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,አጠቃላይ,ፖሊሲ,ወጣ,ጨመረ,በኢትዮጲያ,ሙያ,ፈለገ,አገልግሎት,ቦታ,ተገኘ,ፖለቲካዊ,አስፈላጊነት,ኢትዮጲያ,ባለሙያ,በሯእንደተዘጋ,ተማረ,ሀይል,እጥረት,ደሞ,,,,,,,,,,,,,,,,,
