,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,ድሮ,ሸመደደ,ቀላል,ተንበለበለ,ልብ,ወለድ,ድርሰት,ውሀ,በላቸው,አንጋፋ,ጭምር,ረሳ,ደገመ,ዘበናይ,አዳዲ,ድርሰት,,,,,,,,,,,,
1,ኦሮሞ,ልምድ,አለ,አለ,ሌላ,ያ,ፍትህ,መንግስት,አስተማረ,መለስ,መንግስት,መራ,ረዳ,መራ,አለ,,,,,,,,,,,,,
2,በረከት,በላይነህ,ደራሲ,ገረመ,ገጠመ,እኔ,ዘመነ,ምርጥ,,,,,,,,,,,,,,,,,,,,
3,ክቡር,ሰጠ,ድል,ተመሰገነ,ደህና,አደረ,,,,,,,,,,,,,,,,,,,,,,
4,ልጅ,ተወ,ዜና,ተወ,,,,,,,,,,,,,,,,,,,,,,,,
5,ደገመ,ምርጫ,ርዝም,በጋ,ተደረገ,ክረምት,ኢትዮጵያ,ውነተኛ,እርቅ,ተደረገ,ብሄራዊ,ገባ,መጣ,ድረስ,አዙሪት,ቀጠለ,ሆማ,ቀኖ,,,,,,,,,,
6,አቋም,ገለጠ,ብልጽግና,ጨመረ,አራት,ድርጅት,ጋራ,ተከማቸ,ሀብት,ህግ,ገባ,ጠየቀ,አለ,,,,,,,,,,,,,,,
7,ሀሰተኛ,ድምጽ,ሰማ,አል,ሚዲያ,እሳት,ላሰ,ተዘጋጀ,ቤት,ተደረሰ,ድርግ,ሰራ,አል,ምርጫ,ተመቸ,ህዝብ,መከረ,አለ,አለፈ,ባለ,እቅድ,,,,,,,
8,አመሸ,አስቸኳይ,ስብሰባ,ተጠነቀቀ,ውጥእ,አቋም,ገለጠ,ፈረሰ,ብልጽግና,ተባለ,ፓርቲ,ጋራ,ሰራ,,,,,,,,,,,,,,,
9,አመት,መራ,ግፍ,ፈጸመ,ቀድሞ,ኢትዮጵያ,ከለከለ,አባል,ጨመረ,ፍርድ,ቤት,ወሰደ,ፈጸመ,ካሳ,ከፈለ,ህግ,ጠየቀ,ኖረ,,,,,,,,,,
10,አወቀ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ኢትዮጵያዊ,ኰራ,አገር,ጠላት,ተወራ,ደፈረ,ቅኝ,ገዛ,ዛር,cnj,ውስጥ,አገር,ደፈረ,አየ,ሴት,ልጅ,ወንድም,ደፈረ,አመመ,,,,,,,,,
12,ውጤት,አበባ,ሞባይል,ተመካ,ሆነ,ቻለ,,,,,,,,,,,,,,,,,,,,,,
13,intrj,አዲ,ጠፋ,ተመኘ,አበረ,ኖረ,ፈለገ,,,,,,,,,,,,,,,,,,,,,
14,ጀመረ,ቤተሰብ,ቀጠለ,ማህበረሰብ,ሰዋሰው,ማህጸን,ፍሬ,ወርቁ,ሆነ,,,,,,,,,,,,,,,,,,,
